"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1141,691026,"Winn, Masyn",2256,50.6,0.242,0.105,0.292,0.347,0.285,0.279,0.236,60,248,86.9,17.4,2290,89.3,89.43,92,514,627,0.10000000000000853,6.42,107,151,113,148,307,321,291,"7.225","-7.225","69.0","7.4",271,200,40,17,0,3,51,18.8,16,5.9,2.29691,0.61173,0.34113,-0.0057,"91.1",152,32.5,4.5,3.3210332103321036,5.78,-0.49,0.27,2.34,0.297,9,"-0.633216477",0.292,0.339,"0.633216477",0.006,0.0050000000000000044,0.008,0.006,17.9,"38.4",5.835058762783785,-3.2309330148211233,29.073246106926348,0.45617529880478086,33.17409524301692,33.893892757452434
1097,663457,"Nootbaar, Lars",2359,46.5,0.257,0.143,0.305,0.401,0.333,0.341,0.258,61,237,91.3,15.3,2266,89.3,89.5,92,420,677,0.20000000000000284,6.49,117,147,112,151,297,322,306,"-4.973","4.973","71.8","6.9",274,185,41,13,0,7,54,19.7,31,11.3,2.35146,0.56089,0.40163,-0.22406,"93.1",159,49.72972972972973,9.18918918918919,6.204379562043796,5.76,-0.79,-0.22,2.27,0.352,17,"0.453327256",0.352,0.422,"-0.453327256",-0.001,0,-0.021,-0.008,21.9,"37.2",9.491403553037179,-3.2517011338197594,28.420153835446186,0.5225,37.49291104105889,35.072166938485694
1042,575929,"Contreras, Willson",2160,48.2,0.251,0.167,0.323,0.419,0.331,0.336,0.247,57,227,89.7,13.7,2270,89.6,89.87,147,504,538,0.30000000000001137,6.48,106,151,122,147,309,324,297,"-3.93","3.93","74.7","7.9",256,163,34,15,1,7,65,25.4,18,7,2.28972,0.59343,0.37375,0.09646,"92.4",161,44.785276073619634,12.269938650306749,7.8125,5.73,-0.76,0.15,2.34,0.333,20,"0.377159309",0.33,0.441,"-0.377159309",0.004,0.0030000000000000027,-0.022,-0.005,29.2,"37.3",8.89518623803116,-1.2698479459784258,32.87678669119065,0.4718875502008032,40.46723377267387,27.426103515060582
1003,680977,"Donovan, Brendan",1923,52.2,0.272,0.105,0.3,0.377,0.315,0.349,0.282,65,239,88.9,11.5,2267,89.6,89.77,63,441,562,0.20000000000000284,6.43,117,146,112,150,293,321,305,"2.266","-2.266","66.6","6.6",266,208,48,13,0,4,34,12.8,19,7.1,2.30252,0.58522,0.4096,-0.15222,"92.2",168,39.90384615384615,10.096153846153847,7.894736842105263,5.8,-0.41,-0.09,2.32,0.336,21,"-0.225922233",0.347,0.45,"0.225922233",-0.01,-0.010999999999999954,-0.073,-0.034,14.3,"38.6",5.8580997381962066,3.5672420767294963,30.582959137225043,0.47641509433962265,37.35802155823402,23.4380741295884
971,676475,"Burleson, Alec",1933,50.2,0.302,0.198,0.306,0.5,0.366,0.383,0.304,73,242,90.9,15,2258,89.5,89.84,72,466,505,0.29999999999999716,6.5,115,146,117,152,297,323,306,"-12.058","12.058","70.8","7.4",268,216,46,16,1,10,29,10.8,20,7.5,2.32442,0.56364,0.39939,-0.30696,"93.0",167,43.25581395348837,10.232558139534884,8.208955223880597,5.71,-0.87,-0.25,2.42,0.356,22,"1.241812564",0.363,0.521,"-1.241812564",-0.002,-0.007000000000000006,-0.021,-0.017,15.5,"36.6",9.115381518103723,2.4788423034886606,31.978296767532743,0.5611353711790393,32.863280307529216,30.481211002263564
843,671056,"Herrera, Iván",1809,46.6,0.266,0.196,0.287,0.462,0.351,0.376,0.282,49,184,90.7,14.5,2286,89.9,90.13,73,368,475,0.19999999999998863,6.43,107,149,123,146,308,323,296,"-9.37","9.37","72.1","7.7",211,146,33,6,0,10,40,19,20,9.5,2.26039,0.60891,0.38345,0.11797,"93.0",151,46.206896551724135,11.724137931034482,8.056872037914692,5.75,-0.71,0.21,2.32,0.348,17,"1.111506524",0.362,0.516,"-1.111506524",-0.016,-0.014000000000000012,-0.054,-0.025,19.8,"37.7",7.925366794377211,0.7854224119757582,32.67158146472139,0.4610951008645533,37.57278827101843,31.196265323828882
829,571448,"Arenado, Nolan",1586,52.3,0.248,0.146,0.253,0.393,0.297,0.279,0.233,51,206,86.2,21.5,2298,90.1,90.22,72,409,420,0.10000000000000853,6.42,106,151,123,147,304,323,297,"3.784","-3.784","70.1","8.4",220,181,36,7,1,7,26,11.8,12,5.5,2.2331,0.61932,0.37048,0.115,"91.8",153,29.2817679558011,5.524861878453039,4.545454545454546,5.76,-0.99,0.2,2.36,0.291,10,"-0.456453559",0.278,0.358,"0.456453559",0.015,0.012999999999999956,0.035,0.018,17.6,"37.8",10.537983157995452,-8.60640633000948,33.04291389856925,0.5637254901960784,39.63641779000746,34.50111854765369
785,687363,"Scott II, Victor",1703,46.1,0.243,0.058,0.31,0.302,0.296,0.303,0.244,46,189,80.5,7.4,2242,89.6,89.83,96,384,401,0.20000000000000284,6.47,106,144,96,150,290,319,301,"2.384","-2.384","61.4","5.8",224,151,37,8,0,1,44,19.6,24,10.7,2.33102,0.54828,0.39764,-0.17508,"90.7",137,28.666666666666668,3.3333333333333335,2.232142857142857,5.7,-1.02,-0.21,2.32,0.342,5,"-0.303694268",0.343,0.321,"0.303694268",-0.001,-0.0010000000000000009,-0.019,-0.007,25,"36.1",3.630284857043074,-7.07461748906004,33.318527726892356,0.4489795918367347,33.556385876597666,29.50068747719892
784,669357,"Gorman, Nolan",1655,47.4,0.226,0.201,0.304,0.427,0.322,0.334,0.212,37,164,89.5,25.3,2294,90.1,90.36,130,373,411,0.30000000000001137,6.46,118,146,120,152,297,323,305,"-1.203","1.203","70.6","7.4",190,101,22,6,0,9,66,34.7,23,12.1,2.19795,0.66406,0.34489,-0.31009,"91.6",185,42.57425742574257,14.85148514851485,7.894736842105263,5.75,-1.09,-0.17,2.5,0.316,15,"0.153443878",0.308,0.46,"-0.153443878",0.014,0.008000000000000007,-0.033,-0.012,34.9,"37.2",13.380091454952026,-0.6341196091569803,34.16238973070717,0.4861878453038674,38.052136058165026,32.04990444420418
737,691023,"Walker, Jordan",1541,47.8,0.236,0.109,0.333,0.345,0.287,0.305,0.228,41,174,92.7,10.5,2304,89.3,89.61,129,374,363,0.29999999999999716,6.51,108,151,124,147,309,324,297,"3.168","-3.168","75.9","8.3",190,115,30,7,0,4,59,31.1,14,7.4,2.37399,0.53324,0.30011,0.07951,"92.9",152,48.69565217391305,12.173913043478262,7.368421052631578,5.69,-0.99,0.22,2.3,0.3,14,"-0.429850746",0.293,0.407,"0.429850746",0.008,0.007000000000000006,-0.062,-0.018,34.5,"36.2",6.0700709369825345,-5.667956285604734,31.594986910470954,0.4584450402144772,40.26397623084179,30.15063507242586
